candidate_id,final_rank,mean_score,score_range,best_rank,worst_rank,rank_range,summary_archetype,fine_static_atom,current_title,current_company,integrity_risk_level,honeypot_proxy_rules,overlay_rules_fired,career_compounds,skill_signals,rank_conservative,rank_senior_heavy,rank_applied_ml_friendly,rank_generic_tail_friendly,rank_behavior_medium,rank_mutation_uncertain
CAND_0077337,16,7.500962,0.548,15,16,1,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Paytm,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,16,16,16,16,15,16
CAND_0041611,17,7.3657,0.540705,17,19,2,senior_explicit_ai,fine_atom_04,Staff Machine Learning Engineer,Locobuzz,low,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,17,17,17,17,19,17
CAND_0093193,18,7.332233,0.46875,17,19,2,senior_plain_language,fine_atom_05,Senior Machine Learning Engineer,Niramai,none,,,evaluated_ranking_system,ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,18,19,18,18,17,18
CAND_0061257,19,7.272022,0.371875,18,20,2,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,LinkedIn,none,,,evaluated_ranking_system,computer_vision_primary;llm_finetuning;ml_depth;python_engineering;retrieval_search,19,20,20,20,18,19
CAND_0060072,20,7.253973,0.548,18,20,2,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Amazon,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,20,18,19,19,20,20
CAND_0092278,21,6.980637,0.44823,21,21,0,senior_explicit_ai,fine_atom_03,Senior NLP Engineer,Microsoft,none,,,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,21,21,21,21,21,21
CAND_0068811,22,6.37486,1.012026,22,24,2,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,22,23,22,22,24,22
CAND_0007009,23,6.369653,1.011512,23,27,4,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,none,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,23,24,23,23,27,23
CAND_0079387,24,6.366539,1.007121,22,25,3,applied_ml,fine_atom_00,AI Engineer,Microsoft,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,25,25,24,24,22,25
CAND_0051004,25,6.362355,0.993943,22,27,5,applied_ml,fine_atom_00,Senior Data Scientist,CRED,low,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,24,22,25,27,23,24
CAND_0064270,26,6.328342,1.00443,26,33,7,applied_ml,fine_atom_00,Applied ML Engineer,Verloop.io,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,26,27,26,26,33,26
CAND_0037944,27,6.326058,0.99161,25,36,11,applied_ml,fine_atom_00,Senior Data Scientist,Vedantu,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,27,26,27,25,36,27
CAND_0052328,28,6.323898,1.020811,26,35,9,applied_ml,fine_atom_00,Recommendation Systems Engineer,Amazon,none,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,30,35,30,30,26,30
CAND_0074225,29,6.322568,0.999583,28,30,2,applied_ml,fine_atom_00,Machine Learning Engineer,Unacademy,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,29,28,29,28,30,29
CAND_0087630,30,6.315433,1.000717,28,35,7,applied_ml,fine_atom_00,AI Engineer,Vedantu,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,28,29,28,29,35,28
CAND_0041669,31,6.311019,0.988589,25,48,23,applied_ml,fine_atom_00,Recommendation Systems Engineer,CRED,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,31,30,34,48,25,31
CAND_0027691,32,6.304117,1.01742,29,38,9,applied_ml,fine_atom_00,NLP Engineer,Haptik,none,,,evaluated_ranking_system,computer_vision_primary;embeddings;llm_finetuning;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,33,38,32,33,29,33
CAND_0011162,33,6.299817,0.995683,31,38,7,applied_ml,fine_atom_00,Recommendation Systems Engineer,upGrad,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,32,31,31,31,38,32
CAND_0084819,34,6.299193,0.995576,32,39,7,applied_ml,fine_atom_00,Search Engineer,Dream11,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,34,32,33,32,39,34
CAND_0065195,35,6.296763,0.984938,28,46,18,applied_ml,fine_atom_00,Search Engineer,CRED,low,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,37,36,39,46,28,37
CAND_0039383,36,6.294015,0.990799,32,39,7,applied_ml,fine_atom_00,Applied ML Engineer,Meesho,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,35,33,35,39,32,35
CAND_0030348,37,6.284658,0.99202,34,42,8,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,36,34,36,37,42,36
CAND_0005649,38,6.280074,1.003227,35,41,6,applied_ml,fine_atom_00,Senior Data Scientist,Sarvam AI,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,38,39,37,35,41,38
CAND_0093912,39,6.279279,0.99628,31,45,14,applied_ml,fine_atom_00,Senior Data Scientist,Razorpay,none,,,evaluated_ranking_system,embeddings;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,40,45,40,40,31,40
CAND_0075249,40,6.278263,0.991988,34,46,12,applied_ml,fine_atom_00,Applied ML Engineer,Zomato,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,39,37,38,34,46,39
CAND_0099806,41,6.267869,0.982824,34,50,16,applied_ml,fine_atom_00,AI Engineer,Mad Street Den,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,41,41,43,50,34,41
CAND_0075439,42,6.264467,0.985648,40,43,3,applied_ml,fine_atom_00,Machine Learning Engineer,Flipkart,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_finetuning;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,42,40,42,41,43,42
CAND_0096142,43,6.257137,0.97947,37,53,16,applied_ml,fine_atom_00,Applied ML Engineer,upGrad,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,46,44,48,53,37,46
CAND_0096172,44,6.257012,0.988345,36,54,18,applied_ml,fine_atom_00,NLP Engineer,Krutrim,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,43,42,41,36,54,43
CAND_0042029,45,6.256516,0.996917,42,48,6,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,45,48,44,42,45,45
CAND_0054123,46,6.252546,0.979715,40,54,14,applied_ml,fine_atom_00,Applied ML Engineer,Meta,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,44,46,47,54,40,44
CAND_0031593,47,6.251716,0.983462,45,48,3,applied_ml,fine_atom_00,Search Engineer,Genpact AI,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,47,47,46,45,48,47
CAND_0012957,48,6.249837,0.987115,38,60,22,applied_ml,fine_atom_00,Search Engineer,Razorpay,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,48,43,45,38,60,48
CAND_0030031,49,6.23599,1.001884,44,56,12,applied_ml,fine_atom_00,AI Engineer,Microsoft,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,52,56,51,47,44,52
CAND_0044855,50,6.233158,0.992827,44,55,11,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,51,53,50,44,55,51
CAND_0069905,51,6.230355,1.000918,47,58,11,applied_ml,fine_atom_00,Applied ML Engineer,Sarvam AI,none,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,56,58,54,49,47,56
CAND_0009691,52,6.226405,0.983098,43,70,27,applied_ml,fine_atom_00,Applied ML Engineer,LinkedIn,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,50,49,49,43,70,50
CAND_0061265,53,6.22623,1.002568,51,57,6,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zoho,none,,,evaluated_ranking_system,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,53,57,52,51,52,53
CAND_0020877,54,6.224103,0.976164,49,57,8,applied_ml,fine_atom_00,Applied ML Engineer,CRED,low,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,49,51,53,57,56,49
CAND_0055992,55,6.223284,0.974388,50,55,5,applied_ml,fine_atom_00,AI Engineer,CRED,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,55,52,55,55,50,55
CAND_0043228,56,6.219931,0.999131,49,60,11,applied_ml,fine_atom_00,Applied ML Engineer,Zoho,none,,,evaluated_ranking_system,computer_vision_primary;embeddings;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,58,60,56,52,49,58
CAND_0095528,57,6.211333,0.960775,50,64,14,applied_ml,fine_atom_00,Senior Data Scientist,Netflix,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,54,50,57,63,64,54
CAND_0028793,58,6.211323,0.972941,54,61,7,applied_ml,fine_atom_00,Search Engineer,Google,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search,57,54,58,59,61,57
CAND_0045250,59,6.185329,0.98931,59,68,9,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,61,64,62,68,59,61
CAND_0000031,60,6.183364,0.987941,57,66,9,applied_ml,fine_atom_00,Recommendation Systems Engineer,Swiggy,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,64,65,64,66,57,64
CAND_0026532,61,6.180662,0.96901,59,75,16,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zomato,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,60,59,60,65,75,60
CAND_0092245,62,6.179096,0.96175,55,91,36,applied_ml,fine_atom_00,Senior Data Scientist,Ola,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,59,55,59,61,91,59
CAND_0070202,63,6.175767,0.99156,58,72,14,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,65,67,63,58,72,65
CAND_0099401,64,6.173552,0.969116,61,86,25,applied_ml,fine_atom_00,NLP Engineer,Dream11,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,62,61,61,64,86,62
CAND_0079284,65,6.169754,0.963165,62,76,14,applied_ml,fine_atom_00,Machine Learning Engineer,Google,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,63,62,65,76,73,63
CAND_0013536,66,6.169463,0.984233,63,71,8,applied_ml,fine_atom_00,Applied ML Engineer,Haptik,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,67,70,68,71,63,67
CAND_0081686,67,6.166702,0.97,56,83,27,applied_ml,fine_atom_00,Search Engineer,Netflix,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,69,63,66,56,83,69
CAND_0042506,68,6.161746,0.98026,58,78,20,applied_ml,fine_atom_00,Search Engineer,Verloop.io,low,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,71,75,70,78,58,71
CAND_0091909,69,6.160408,0.988927,60,79,19,applied_ml,fine_atom_00,Machine Learning Engineer,Rephrase.ai,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,70,72,67,60,79,70
CAND_0081852,70,6.15739,0.964024,53,88,35,applied_ml,fine_atom_00,Senior Data Scientist,Mad Street Den,none,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,68,69,72,88,53,68
CAND_0083307,71,6.154662,0.987942,62,82,20,applied_ml,fine_atom_00,Search Engineer,CRED,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,72,74,69,62,82,72
CAND_0010257,72,6.154567,0.96504,62,89,27,applied_ml,fine_atom_00,Senior Data Scientist,Google,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,66,68,71,89,62,66
CAND_0054394,73,6.148725,0.99256,51,85,34,applied_ml,fine_atom_00,Recommendation Systems Engineer,PharmEasy,low,,,evaluated_ranking_system,embeddings;llm_application_context;llm_finetuning;ml_depth;python_engineering;vector_hybrid_infrastructure,73,85,78,83,51,73
CAND_0058688,74,6.14321,0.994336,67,83,16,applied_ml,fine_atom_00,AI Engineer,Vedantu,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_finetuning;ml_depth;python_engineering;retrieval_search;vector_hybrid_infrastructure,79,83,76,69,67,79
CAND_0006418,75,6.142612,0.978012,68,81,13,applied_ml,fine_atom_00,Machine Learning Engineer,Verloop.io,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,75,77,74,81,68,75
CAND_0057701,76,6.140512,0.958152,66,87,21,applied_ml,fine_atom_00,Recommendation Systems Engineer,Verloop.io,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;vector_hybrid_infrastructure,74,66,73,79,87,74
CAND_0081053,77,6.140191,0.995747,70,82,12,applied_ml,fine_atom_00,NLP Engineer,Glance,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;llm_finetuning;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,78,82,75,70,74,78
CAND_0044222,78,6.135507,0.949344,69,93,24,applied_ml,fine_atom_00,AI Engineer,PolicyBazaar,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,76,71,80,93,69,76
CAND_0064904,79,6.130992,0.99417,73,89,16,applied_ml,fine_atom_00,AI Engineer,LinkedIn,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;ml_depth;python_engineering;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,81,89,79,73,78,81
CAND_0058575,80,6.127486,0.950619,73,90,17,applied_ml,fine_atom_00,AI Engineer,Krutrim,low,,,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,embeddings;ml_depth;ranking_recommendation_matching;vector_hybrid_infrastructure,77,73,82,90,80,77
CAND_0086151,81,6.12322,0.982552,72,99,27,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,82,78,77,72,99,82
CAND_0049896,82,6.121117,0.975945,79,84,5,applied_ml,fine_atom_00,Search Engineer,Unacademy,none,,,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,computer_vision_primary;embeddings;llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,83,79,83,80,84,83
CAND_0057563,83,6.118759,0.946473,76,96,20,applied_ml,fine_atom_00,NLP Engineer,Locobuzz,none,,,evaluated_ranking_system;shipper_with_evaluation_depth,llm_application_context;llm_finetuning;ml_depth;retrieval_search;vector_hybrid_infrastructure,80,76,84,96,76,80
CAND_0010770,84,6.118433,0.967535,65,95,30,applied_ml,fine_atom_00,Recommendation Systems Engineer,Aganitha,low,,,evaluated_ranking_system;shipper_with_evaluation_depth,computer_vision_primary;llm_application_context;ml_depth;ranking_recommendation_matching;retrieval_search;vector_hybrid_infrastructure,85,84,85,95,65,85
