final_rank,candidate_id,mean_score,assessment_score_raw,assessment_signal_scores,assessment_signal_sources,frozen_top100_rank,rank_change_vs_frozen_top100,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
11,CAND_0081846,7.768399,0.074,retrieval_search:64.8,retrieval_search:Information Retrieval,5,-6,senior_explicit_ai,fine_atom_04,Lead AI Engineer,Razorpay,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Data Science;Deep Learning;Elasticsearch;Embeddings;Forecasting;Information Retrieval;Learning to Rank;LlamaIndex;Machine Learning;PyTorch;Python;Qdrant;Recommendation Systems;Semantic Search;Vector Search;pgvector;scikit-learn,none,
12,CAND_0094759,7.765022,0.23625,ml_depth:80.5;python_engineering:65.9;ranking_recommendation_matching:63.3,ml_depth:Hugging Face Transformers;python_engineering:scikit-learn;ranking_recommendation_matching:Learning to Rank,15,3,senior_explicit_ai,fine_atom_01,Lead AI Engineer,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Agile;FAISS;Fine-tuning LLMs;Hugging Face Transformers;Learning to Rank;MLOps;NLP;Object Detection;Prompt Engineering;Qdrant;Semantic Search;TTS;Vector Search;Weaviate;Weights & Biases;scikit-learn,none,
13,CAND_0068351,7.668208,0.0,,,9,-4,senior_plain_language,fine_atom_05,Lead AI Engineer,Sarvam AI,evaluated_ranking_system,Deep Learning;Elasticsearch;Feature Engineering;GANs;Haystack;Information Retrieval Systems;LoRA;Machine Learning;NLP;Open-source ML libraries;PEFT;Python;Qdrant;Ranking Systems;Redis;Search Backend;Spring Boot;Text Encoders;pgvector,none,
14,CAND_0093193,7.666711,0.46135,embeddings:73.1;ml_depth:73.1;ranking_recommendation_matching:86.6;vector_hybrid_infrastructure:64,embeddings:Sentence Transformers;ml_depth:Sentence Transformers;ranking_recommendation_matching:Learning to Rank;vector_hybrid_infrastructure:FAISS,18,4,senior_plain_language,fine_atom_05,Senior Machine Learning Engineer,Niramai,evaluated_ranking_system,ASR;Content Matching;Forecasting;GANs;Haystack;Indexing Algorithms;Information Retrieval Systems;Machine Learning;Open-source ML libraries;OpenSearch;Qdrant;Ranking Systems;Search & Discovery;Search Backend;Statistical Modeling;TensorFlow;Text Encoders;Vector Representations;scikit-learn,none,
15,CAND_0046064,7.666521,0.04935,python_engineering:64.1,python_engineering:Python,14,-1,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Salesforce,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Diffusion Models;Elasticsearch;Haystack;Image Classification;OpenCV;OpenSearch;PEFT;Pinecone;Python;QLoRA;Semantic Search;Six Sigma;TTS;YOLO,none,
16,CAND_0005260,7.651217,0.0,,,11,-5,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Netflix,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Embeddings;Haystack;Hugging Face Transformers;Information Retrieval;Kubeflow;LoRA;MLOps;MLflow;NLP;Prompt Engineering;Python;RAG;Semantic Search;Snowflake;Speech Recognition;Statistical Modeling;pgvector,low,
17,CAND_0077337,7.548812,0.066,retrieval_search:63.2,retrieval_search:Semantic Search,16,-1,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Paytm,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Data Science;Excel;Feature Engineering;Forecasting;GANs;Information Retrieval;LLMs;LlamaIndex;OpenCV;OpenSearch;Pinecone;Python;QLoRA;Qdrant;RAG;Recommendation Systems;Semantic Search;Sentence Transformers;pgvector,none,
18,CAND_0060072,7.380015,0.17385,embeddings:61.7;ml_depth:80.8,embeddings:Sentence Transformers;ml_depth:Deep Learning|Sentence Transformers,20,2,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Amazon,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Deep Learning;Embeddings;Feature Engineering;Fine-tuning LLMs;Kubeflow;Machine Learning;Milvus;Next.js;Pinecone;Prompt Engineering;PyTorch;Qdrant;RAG;Recommendation Systems;Redux;Reinforcement Learning;Sentence Transformers;YOLO,low,
19,CAND_0041611,7.3657,0.0,,,17,-2,senior_explicit_ai,fine_atom_04,Staff Machine Learning Engineer,Locobuzz,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Diffusion Models;Fine-tuning LLMs;GANs;LangChain;LlamaIndex;MLOps;NLP;OpenSearch;Prompt Engineering;PyTorch;QLoRA;Qdrant;Sentence Transformers;Weaviate;Weights & Biases;pgvector,low,
20,CAND_0061257,7.314434,0.0585,llm_finetuning:69.5,llm_finetuning:PEFT,19,-1,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,LinkedIn,evaluated_ranking_system,ETL;Feature Engineering;Haystack;Image Classification;Indexing Algorithms;Information Retrieval Systems;Machine Learning;Model Adaptation;PEFT;Python;Search Backend;Search Infrastructure;TTS;Time Series;Vector Representations;Workflow Orchestration,none,
21,CAND_0092278,6.980637,0.0,,,21,0,senior_explicit_ai,fine_atom_03,Senior NLP Engineer,Microsoft,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Elasticsearch;GANs;Hugging Face Transformers;LLMs;MLflow;Machine Learning;Milvus;NLP;Object Detection;PEFT;QLoRA;Semantic Search;TensorFlow;Time Series;Vector Search;gRPC;pgvector,none,
22,CAND_0079387,6.729039,0.5,embeddings:85.8;ml_depth:85.8;python_engineering:66.5;ranking_recommendation_matching:84.4,embeddings:Sentence Transformers;ml_depth:Sentence Transformers;python_engineering:Python|scikit-learn;ranking_recommendation_matching:Recommendation Systems,24,2,applied_ml,fine_atom_00,AI Engineer,Microsoft,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;BentoML;Haystack;Illustrator;JavaScript;Kubeflow;Learning to Rank;LoRA;Next.js;OpenSearch;Python;QLoRA;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Time Series;Vector Search;YOLO;scikit-learn,none,
23,CAND_0037944,6.688558,0.5,llm_finetuning:88.8;ml_depth:90.6;retrieval_search:91.6;vector_hybrid_infrastructure:91.6,llm_finetuning:QLoRA;ml_depth:Machine Learning;retrieval_search:Vector Search;vector_hybrid_infrastructure:OpenSearch|Vector Search,27,4,applied_ml,fine_atom_00,Senior Data Scientist,Vedantu,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Apache Flink;BM25;CNN;Embeddings;Feature Engineering;LLMs;LlamaIndex;Machine Learning;NLP;Next.js;OpenSearch;PEFT;Python;QLoRA;Sentence Transformers;Terraform;Vector Search,low,
24,CAND_0084819,6.661693,0.5,ranking_recommendation_matching:89.4;retrieval_search:77.4;vector_hybrid_infrastructure:82.8,ranking_recommendation_matching:Recommendation Systems;retrieval_search:BM25|Semantic Search;vector_hybrid_infrastructure:OpenSearch,34,10,applied_ml,fine_atom_00,Search Engineer,Dream11,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Docker;GCP;Information Retrieval;LlamaIndex;LoRA;MLOps;MLflow;OpenSearch;PyTorch;Recommendation Systems;Reinforcement Learning;Semantic Search;Sentence Transformers;Speech Recognition;Weaviate;scikit-learn,low,
25,CAND_0075249,6.640763,0.5,embeddings:80.7;llm_finetuning:57.6;ml_depth:80.7;vector_hybrid_infrastructure:77.9,embeddings:Sentence Transformers;llm_finetuning:Fine-tuning LLMs;ml_depth:Machine Learning|Sentence Transformers;vector_hybrid_infrastructure:Milvus,40,15,applied_ml,fine_atom_00,Applied ML Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Diffusion Models;Fine-tuning LLMs;Hadoop;Haystack;Kubeflow;Learning to Rank;MLflow;Machine Learning;Milvus;Pinecone;Sentence Transformers;Time Series,none,
26,CAND_0051004,6.639595,0.3824,embeddings:90.4;retrieval_search:77.9,embeddings:Embeddings;retrieval_search:Semantic Search,25,-1,applied_ml,fine_atom_00,Senior Data Scientist,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BentoML;BigQuery;Docker;Embeddings;Fine-tuning LLMs;Forecasting;Haystack;LlamaIndex;LoRA;MLOps;MLflow;PEFT;Prompt Engineering;PyTorch;Qdrant;Reinforcement Learning;Semantic Search;Vector Search;gRPC,low,
27,CAND_0027691,6.619927,0.4356,llm_finetuning:86.9;python_engineering:64.2;ranking_recommendation_matching:63.9;vector_hybrid_infrastructure:79.3,llm_finetuning:LoRA|PEFT;python_engineering:scikit-learn;ranking_recommendation_matching:Recommendation Systems;vector_hybrid_infrastructure:Weaviate,32,5,applied_ml,fine_atom_00,NLP Engineer,Haptik,evaluated_ranking_system,Computer Vision;Embeddings;Learning to Rank;LoRA;MLflow;Marketing;PEFT;Python;QLoRA;Recommendation Systems;SAP;Semantic Search;Statistical Modeling;TTS;TensorFlow;Weaviate;scikit-learn,none,
28,CAND_0096142,6.512301,0.35195,llm_finetuning:91.8;vector_hybrid_infrastructure:85.7,llm_finetuning:LoRA;vector_hybrid_infrastructure:Pinecone|Weaviate,43,15,applied_ml,fine_atom_00,Applied ML Engineer,upGrad,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;CNN;CSS;Hugging Face Transformers;Kubeflow;LoRA;NLP;OpenCV;Pinecone;Python;RAG;Weaviate;Weights & Biases;dbt,none,
29,CAND_0074225,6.511974,0.26125,ranking_recommendation_matching:58.5;retrieval_search:89.2,ranking_recommendation_matching:Recommendation Systems;retrieval_search:Semantic Search,29,0,applied_ml,fine_atom_00,Machine Learning Engineer,Unacademy,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Apache Beam;CI/CD;Elasticsearch;Haystack;Hugging Face Transformers;Machine Learning;Milvus;Python;QLoRA;Qdrant;Recommendation Systems;Semantic Search;Statistical Modeling;Time Series;Vector Search;scikit-learn,low,
30,CAND_0044855,6.499269,0.36705,ml_depth:79.9;ranking_recommendation_matching:63.7;vector_hybrid_infrastructure:78.6,ml_depth:BentoML|Hugging Face Transformers;ranking_recommendation_matching:Learning to Rank;vector_hybrid_infrastructure:OpenSearch,50,20,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;Data Science;Embeddings;Forecasting;Hugging Face Transformers;Image Classification;Information Retrieval;Learning to Rank;Machine Learning;NLP;Object Detection;OpenSearch;Pinecone;QLoRA;Qdrant;Statistical Modeling;Vector Search,none,
31,CAND_0039383,6.482334,0.25975,ml_depth:85.8;ranking_recommendation_matching:64.9;vector_hybrid_infrastructure:62.8,ml_depth:Hugging Face Transformers|Kubeflow;ranking_recommendation_matching:Recommendation Systems;vector_hybrid_infrastructure:FAISS,36,5,applied_ml,fine_atom_00,Applied ML Engineer,Meesho,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;CNN;Elasticsearch;FAISS;Feature Engineering;GANs;Hugging Face Transformers;Kubeflow;LoRA;MLflow;NLP;Prompt Engineering;QLoRA;Recommendation Systems;Vector Search;pgvector,none,
32,CAND_0052328,6.473682,0.2066,llm_finetuning:85.4;vector_hybrid_infrastructure:65.7,llm_finetuning:LoRA;vector_hybrid_infrastructure:OpenSearch,28,-4,applied_ml,fine_atom_00,Recommendation Systems Engineer,Amazon,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Computer Vision;Fine-tuning LLMs;Image Classification;Learning to Rank;LoRA;Object Detection;OpenSearch;Python;QLoRA;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Vector Search;YOLO;scikit-learn,none,
33,CAND_0042029,6.468977,0.29305,ml_depth:82.7;retrieval_search:76.9,ml_depth:NLP;retrieval_search:RAG,45,12,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Embeddings;Feature Engineering;Haystack;Hugging Face Transformers;Image Classification;Learning to Rank;NLP;OpenSearch;PyTorch;RAG;REST APIs;Speech Recognition;Statistical Modeling;TypeScript;Weaviate;YOLO,none,
34,CAND_0041669,6.462725,0.20925,vector_hybrid_infrastructure:83.7,vector_hybrid_infrastructure:FAISS|Milvus,31,-3,applied_ml,fine_atom_00,Recommendation Systems Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Diffusion Models;FAISS;Flask;Haystack;Information Retrieval;MLOps;MLflow;Machine Learning;Milvus;PEFT;Prompt Engineering;QLoRA;Qdrant;Semantic Search;Time Series;TypeScript;Vue.js;Weaviate;Weights & Biases,none,
35,CAND_0045250,6.46095,0.380167,embeddings:83.2;llm_finetuning:65;ml_depth:83.2;vector_hybrid_infrastructure:53.9,embeddings:Embeddings|Sentence Transformers;llm_finetuning:LoRA;ml_depth:Sentence Transformers;vector_hybrid_infrastructure:Milvus,59,24,applied_ml,fine_atom_00,Applied ML Engineer,Rephrase.ai,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Embeddings;Image Classification;LLMs;LangChain;LoRA;MLflow;Milvus;NLP;PEFT;Qdrant;Sentence Transformers;TTS;TensorFlow;Time Series;Vector Search,none,
36,CAND_0006418,6.448942,0.422525,embeddings:88.9;retrieval_search:89,embeddings:Embeddings;retrieval_search:Semantic Search,75,39,applied_ml,fine_atom_00,Machine Learning Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Diffusion Models;Elasticsearch;Embeddings;Forecasting;Kubernetes;Learning to Rank;MLflow;Object Detection;OpenSearch;Qdrant;Semantic Search;Snowflake;TensorFlow;Time Series;Weaviate;gRPC,low,
37,CAND_0075439,6.432649,0.231975,llm_finetuning:63.8;ranking_recommendation_matching:84.7,llm_finetuning:LoRA;ranking_recommendation_matching:Learning to Rank,42,5,applied_ml,fine_atom_00,Machine Learning Engineer,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Elasticsearch;Embeddings;Feature Engineering;Information Retrieval;JavaScript;Learning to Rank;LoRA;MLflow;OpenSearch;Semantic Search;Vector Search,low,
38,CAND_0070202,6.420581,0.337675,embeddings:54;llm_finetuning:76.8;ranking_recommendation_matching:81.5;vector_hybrid_infrastructure:56.5,embeddings:Embeddings;llm_finetuning:LoRA;ranking_recommendation_matching:Learning to Rank;vector_hybrid_infrastructure:Qdrant,63,25,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Embeddings;Fine-tuning LLMs;GANs;Learning to Rank;LoRA;Microservices;NLP;Object Detection;OpenCV;PyTorch;Qdrant;RAG;Semantic Search;Weights & Biases,none,
39,CAND_0081686,6.418313,0.34705,embeddings:61.8;ml_depth:73.2;vector_hybrid_infrastructure:85.9,embeddings:Embeddings;ml_depth:Kubeflow|Machine Learning;vector_hybrid_infrastructure:FAISS,67,28,applied_ml,fine_atom_00,Search Engineer,Netflix,evaluated_ranking_system;shipper_with_evaluation_depth,BigQuery;CNN;Embeddings;FAISS;Feature Engineering;Forecasting;Hugging Face Transformers;Java;Kubeflow;LLMs;LangChain;Machine Learning;Milvus;OpenCV;Python;QLoRA;Semantic Search;Weights & Biases,none,
40,CAND_0009024,6.417412,0.4605,llm_finetuning:89.8;ml_depth:80.7;vector_hybrid_infrastructure:81.9,llm_finetuning:PEFT;ml_depth:Machine Learning;vector_hybrid_infrastructure:FAISS|Qdrant,93,53,applied_ml,fine_atom_00,Search Engineer,Google,evaluated_ranking_system;shipper_with_evaluation_depth,Airflow;CSS;FAISS;LlamaIndex;LoRA;MLOps;MLflow;Machine Learning;OpenSearch;PEFT;PyTorch;Qdrant;Recommendation Systems;TTS;YOLO;dbt,low,
41,CAND_0095528,6.414877,0.28075,retrieval_search:86.7;vector_hybrid_infrastructure:62.8,retrieval_search:Semantic Search|Vector Search;vector_hybrid_infrastructure:OpenSearch|Vector Search,57,16,applied_ml,fine_atom_00,Senior Data Scientist,Netflix,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Elasticsearch;Feature Engineering;Fine-tuning LLMs;GANs;MLOps;OpenSearch;PyTorch;Python;Qdrant;RAG;Semantic Search;Vector Search;pgvector;scikit-learn,none,
42,CAND_0009691,6.413129,0.25755,llm_finetuning:81.8;ml_depth:65.1;ranking_recommendation_matching:69.9,llm_finetuning:Fine-tuning LLMs|LoRA;ml_depth:BentoML;ranking_recommendation_matching:Recommendation Systems,52,10,applied_ml,fine_atom_00,Applied ML Engineer,LinkedIn,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BentoML;FAISS;Fine-tuning LLMs;GANs;Kubeflow;LangChain;LoRA;MLflow;Pinecone;Prompt Engineering;QLoRA;Qdrant;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Spring Boot;Terraform;scikit-learn,none,
43,CAND_0068811,6.40531,0.042,retrieval_search:52.6;vector_hybrid_infrastructure:52.6,retrieval_search:Vector Search;vector_hybrid_infrastructure:Vector Search,22,-21,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Agile;Data Science;Embeddings;Haystack;Kubeflow;OpenSearch;PEFT;Pinecone;Qdrant;React;Speech Recognition;TTS;TensorFlow;Time Series;Vector Search;Weaviate;gRPC;pgvector;scikit-learn,none,
44,CAND_0020877,6.404011,0.24815,llm_finetuning:63;ml_depth:82.1;vector_hybrid_infrastructure:67.2,llm_finetuning:QLoRA;ml_depth:Kubeflow;vector_hybrid_infrastructure:Elasticsearch,54,10,applied_ml,fine_atom_00,Applied ML Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Forecasting;Illustrator;Information Retrieval;Java;Kubeflow;LlamaIndex;Milvus;OpenSearch;PEFT;PyTorch;QLoRA;Qdrant;Statistical Modeling;Weaviate;YOLO;scikit-learn,low,
45,CAND_0047721,6.39826,0.5,ranking_recommendation_matching:82.8;retrieval_search:87.8;vector_hybrid_infrastructure:73.6,ranking_recommendation_matching:Learning to Rank;retrieval_search:BM25|Information Retrieval|RAG;vector_hybrid_infrastructure:Milvus,,,applied_ml,fine_atom_00,Senior Data Scientist,Microsoft,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Diffusion Models;FAISS;Forecasting;Image Classification;Information Retrieval;Learning to Rank;MLOps;Machine Learning;Milvus;NLP;OpenCV;Photoshop;Qdrant;RAG;Redux;Salesforce CRM,none,
46,CAND_0055992,6.394686,0.236417,retrieval_search:87.1;vector_hybrid_infrastructure:51.2,retrieval_search:Information Retrieval|RAG;vector_hybrid_infrastructure:FAISS,55,9,applied_ml,fine_atom_00,AI Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Accounting;Data Science;Deep Learning;Embeddings;FAISS;Feature Engineering;Fine-tuning LLMs;Information Retrieval;LangChain;MLflow;Milvus;OpenSearch;Prompt Engineering;RAG;SQL;Vue.js,low,
47,CAND_0028793,6.392554,0.249975,embeddings:88.7;ml_depth:66.8,embeddings:Embeddings;ml_depth:Kubeflow,58,11,applied_ml,fine_atom_00,Search Engineer,Google,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Embeddings;Haystack;Information Retrieval;Kubeflow;Learning to Rank;LoRA;NLP;PEFT;PowerPoint;PyTorch;QLoRA;SAP;Weights & Biases;YOLO;pgvector,none,
48,CAND_0093912,6.390929,0.154,vector_hybrid_infrastructure:75.4,vector_hybrid_infrastructure:Milvus,39,-9,applied_ml,fine_atom_00,Senior Data Scientist,Razorpay,evaluated_ranking_system,CNN;Elasticsearch;Embeddings;FastAPI;Feature Engineering;Forecasting;Haystack;Learning to Rank;Milvus;Recommendation Systems;SAP;Sales;Vector Search,none,
49,CAND_0061265,6.381017,0.2135,vector_hybrid_infrastructure:85.4,vector_hybrid_infrastructure:Qdrant,53,4,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zoho,evaluated_ranking_system,Accounting;Computer Vision;Django;Embeddings;Hugging Face Transformers;LangChain;Learning to Rank;Milvus;Object Detection;Prompt Engineering;QLoRA;Qdrant;Reinforcement Learning;SQL;Time Series;Vector Search,none,
