candidate_id,rank,score,reasoning
CAND_0074735,47,5.245585442,"Applied ML Engineer at Rephrase.ai with 5.5 years; evidence=0.92, semantic=0.51, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0070398,48,5.243607625,"Machine Learning Engineer at Genpact AI with 7.2 years; evidence=0.91, semantic=0.55, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0099806,49,5.240759171,"AI Engineer at Mad Street Den with 4.6 years; evidence=0.90, semantic=0.48, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0057701,50,5.235477096,"Recommendation Systems Engineer at Verloop.io with 4.1 years; evidence=0.90, semantic=0.61, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0044222,51,5.234655776,"AI Engineer at PolicyBazaar with 7.7 years; evidence=0.91, semantic=0.53, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0041568,52,5.228046943,"Search Engineer at Haptik with 5.2 years; evidence=0.94, semantic=0.58, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0051004,53,5.227533181,"Senior Data Scientist at CRED with 4.7 years; evidence=0.88, semantic=0.44, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0064270,54,5.225363761,"Applied ML Engineer at Verloop.io with 4.2 years; evidence=0.90, semantic=0.58, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0039383,55,5.215532836,"Applied ML Engineer at Meesho with 7.1 years; evidence=0.91, semantic=0.55, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0032515,56,5.211395389,"Machine Learning Engineer at PharmEasy with 5.1 years; evidence=0.94, semantic=0.45, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0022812,57,5.211086577,"Applied ML Engineer at Dream11 with 4.5 years; evidence=0.94, semantic=0.54, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0078002,58,5.190682593,"Machine Learning Engineer at Meta with 6.3 years; evidence=0.91, semantic=0.58, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0009837,59,5.183551209,"Senior Data Scientist at Rephrase.ai with 4.3 years; evidence=0.90, semantic=0.49, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0055992,60,5.182866709,"AI Engineer at CRED with 16.9 years; evidence=0.94, semantic=0.55, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0042100,61,5.163525794,"Machine Learning Engineer at Freshworks with 7.3 years; evidence=0.90, semantic=0.59, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0091909,62,5.162098053,"Machine Learning Engineer at Rephrase.ai with 6.9 years; evidence=0.91, semantic=0.57, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0007009,63,5.157672217,"Recommendation Systems Engineer at Wysa with 7.9 years; evidence=0.88, semantic=0.50, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0092245,64,5.126822461,"Senior Data Scientist at Ola with 4.1 years; evidence=0.90, semantic=0.53, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0079284,65,5.120692133,"Machine Learning Engineer at Google with 4.9 years; evidence=0.91, semantic=0.55, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0075439,66,5.114884141,"Machine Learning Engineer at Flipkart with 4.3 years; evidence=0.88, semantic=0.54, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0092278,67,5.109862539,"Senior NLP Engineer at Microsoft with 6.8 years; evidence=0.92, semantic=0.58, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0044855,68,5.109504175,"Senior Data Scientist at Flipkart with 6.6 years; evidence=0.88, semantic=0.58, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0013536,69,5.106139095,"Applied ML Engineer at Haptik with 14.1 years; evidence=0.90, semantic=0.53, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0042506,70,5.099910035,"Search Engineer at Verloop.io with 4.2 years; evidence=0.88, semantic=0.55, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0069905,71,5.087108517,"Applied ML Engineer at Sarvam AI with 6.6 years; evidence=0.88, semantic=0.60, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0020877,72,5.075874060,"Applied ML Engineer at CRED with 5.1 years; evidence=0.88, semantic=0.59, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0060072,73,5.058013763,"Staff Machine Learning Engineer at Amazon with 5.7 years; evidence=0.92, semantic=0.55, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0049896,74,5.045659499,"Search Engineer at Unacademy with 7.3 years; evidence=0.88, semantic=0.56, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0013613,75,5.040808058,"Machine Learning Engineer at Adobe with 4.7 years; evidence=0.92, semantic=0.58, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0078042,76,5.035667571,"Applied ML Engineer at PolicyBazaar with 4.7 years; evidence=0.90, semantic=0.55, matched end_to_end_intelligence_ownership, evaluated_ranking_system."
CAND_0089552,77,4.906223081,"Machine Learning Engineer at Netflix with 6.0 years; evidence=0.88, semantic=0.54, matched evaluated_ranking_system, production_embeddings_retrieval."
CAND_0032807,78,4.799637812,"Machine Learning Engineer at CRED with 4.2 years; evidence=0.88, semantic=0.45, matched production_embeddings_retrieval, production_vector_or_hybrid_search."
CAND_0081846,79,4.746177215,"Lead AI Engineer at Razorpay with 6.7 years; evidence=0.78, semantic=0.51, matched evaluated_ranking_system."
CAND_0099401,80,4.685780004,"NLP Engineer at Dream11 with 7.7 years; evidence=0.81, semantic=0.50, matched evaluated_ranking_system."
CAND_0005260,81,4.441064578,"Senior NLP Engineer at Netflix with 5.2 years; evidence=0.74, semantic=0.52, matched evaluated_ranking_system."
CAND_0095528,82,4.384150113,"Senior Data Scientist at Netflix with 5.3 years; evidence=0.73, semantic=0.51, matched evaluated_ranking_system."
CAND_0046525,83,4.310328890,"Senior Machine Learning Engineer at Genpact AI with 6.1 years; evidence=0.69, semantic=0.54, matched evaluated_ranking_system."
CAND_0058688,84,4.253456785,"AI Engineer at Vedantu with 6.7 years; evidence=0.73, semantic=0.45, matched evaluated_ranking_system."
CAND_0041611,85,4.247081420,"Staff Machine Learning Engineer at Locobuzz with 6.4 years; evidence=0.78, semantic=0.54, matched evaluated_ranking_system."
CAND_0081053,86,4.229219050,"NLP Engineer at Glance with 5.4 years; evidence=0.73, semantic=0.45, matched evaluated_ranking_system."
CAND_0064904,87,4.224420779,"AI Engineer at LinkedIn with 4.9 years; evidence=0.73, semantic=0.47, matched evaluated_ranking_system."
CAND_0086022,88,4.207324098,"Senior Applied Scientist at Sarvam AI with 5.3 years; evidence=0.69, semantic=0.54, matched evaluated_ranking_system."
CAND_0070202,89,4.189022285,"Machine Learning Engineer at BYJU'S with 5.1 years; evidence=0.70, semantic=0.59, matched evaluated_ranking_system."
CAND_0024466,90,4.174663931,"Search Engineer at PharmEasy with 5.2 years; evidence=0.70, semantic=0.61, matched evaluated_ranking_system."
CAND_0012957,91,4.162299470,"Search Engineer at Razorpay with 4.9 years; evidence=0.70, semantic=0.61, matched evaluated_ranking_system."
CAND_0086151,92,4.153578375,"Recommendation Systems Engineer at Wysa with 7.7 years; evidence=0.71, semantic=0.59, matched evaluated_ranking_system."
CAND_0047721,93,4.148160371,"Senior Data Scientist at Microsoft with 7.0 years; evidence=0.70, semantic=0.57, matched evaluated_ranking_system."
CAND_0081686,94,4.128608868,"Search Engineer at Netflix with 6.0 years; evidence=0.71, semantic=0.62, matched evaluated_ranking_system."
CAND_0050876,95,4.126166028,"Applied ML Engineer at Freshworks with 6.0 years; evidence=0.70, semantic=0.56, matched evaluated_ranking_system."
CAND_0057563,96,4.114269145,"NLP Engineer at Locobuzz with 6.8 years; evidence=0.71, semantic=0.57, matched evaluated_ranking_system."
CAND_0018549,97,4.063890383,"Recommendation Systems Engineer at Uber with 6.8 years; evidence=0.70, semantic=0.60, matched evaluated_ranking_system."
CAND_0006557,98,4.048986897,"NLP Engineer at Paytm with 7.9 years; evidence=0.70, semantic=0.58, matched evaluated_ranking_system."
CAND_0094759,99,3.982015362,"Lead AI Engineer at Meta with 8.6 years; evidence=0.69, semantic=0.54, matched evaluated_ranking_system."
CAND_0093193,100,3.918671031,"Senior Machine Learning Engineer at Niramai with 7.9 years; evidence=0.65, semantic=0.40, matched evaluated_ranking_system."
