final_rank,candidate_id,mean_score,assessment_group,assessment_score_raw,assessment_score_normalized,assessment_signal_scores,frozen_top100_rank,absolute_top100_rank,summary_archetype,fine_static_atom,current_title,current_company,career_compounds,skill_names,integrity_risk_level,honeypot_proxy_rules
12,CAND_0081846,7.605999,senior_pooled,0.074,-0.15,retrieval_search:64.8,5,11,senior_explicit_ai,fine_atom_04,Lead AI Engineer,Razorpay,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Data Science;Deep Learning;Elasticsearch;Embeddings;Forecasting;Information Retrieval;Learning to Rank;LlamaIndex;Machine Learning;PyTorch;Python;Qdrant;Recommendation Systems;Semantic Search;Vector Search;pgvector;scikit-learn,none,
13,CAND_0046525,7.548667,senior_pooled,0.38305,-0.137631,ml_depth:86.7;retrieval_search:66.4;vector_hybrid_infrastructure:77.1,13,7,senior_explicit_ai,fine_atom_11,Senior Machine Learning Engineer,Genpact AI,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Elasticsearch;Forecasting;Image Classification;Information Retrieval;LLMs;LangChain;LlamaIndex;Machine Learning;NLP;Qdrant;Redux;Sentence Transformers;TTS;TensorFlow;Weights & Biases;YOLO;pgvector,none,
14,CAND_0046064,7.521992,senior_pooled,0.04935,-0.15,python_engineering:64.1,14,15,senior_explicit_ai,fine_atom_08,Senior NLP Engineer,Salesforce,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Diffusion Models;Elasticsearch;Haystack;Image Classification;OpenCV;OpenSearch;PEFT;Pinecone;Python;QLoRA;Semantic Search;Six Sigma;TTS;YOLO,none,
15,CAND_0094759,7.484991,senior_pooled,0.23625,-0.15,ml_depth:80.5;python_engineering:65.9;ranking_recommendation_matching:63.3,15,12,senior_explicit_ai,fine_atom_01,Lead AI Engineer,Meta,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Agile;FAISS;Fine-tuning LLMs;Hugging Face Transformers;Learning to Rank;MLOps;NLP;Object Detection;Prompt Engineering;Qdrant;Semantic Search;TTS;Vector Search;Weaviate;Weights & Biases;scikit-learn,none,
16,CAND_0077337,7.392213,senior_pooled,0.066,-0.15,retrieval_search:63.2,16,17,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Paytm,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Data Science;Excel;Feature Engineering;Forecasting;GANs;Information Retrieval;LLMs;LlamaIndex;OpenCV;OpenSearch;Pinecone;Python;QLoRA;Qdrant;RAG;Recommendation Systems;Semantic Search;Sentence Transformers;pgvector,none,
17,CAND_0041611,7.3657,senior_pooled,0.0,0.0,,17,19,senior_explicit_ai,fine_atom_04,Staff Machine Learning Engineer,Locobuzz,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Deep Learning;Diffusion Models;Fine-tuning LLMs;GANs;LangChain;LlamaIndex;MLOps;NLP;OpenSearch;Prompt Engineering;PyTorch;QLoRA;Qdrant;Sentence Transformers;Weaviate;Weights & Biases;pgvector,low,
18,CAND_0093193,7.223482,senior_pooled,0.46135,-0.15,embeddings:73.1;ml_depth:73.1;ranking_recommendation_matching:86.6;vector_hybrid_infrastructure:64,18,14,senior_plain_language,fine_atom_05,Senior Machine Learning Engineer,Niramai,evaluated_ranking_system,ASR;Content Matching;Forecasting;GANs;Haystack;Indexing Algorithms;Information Retrieval Systems;Machine Learning;Open-source ML libraries;OpenSearch;Qdrant;Ranking Systems;Search & Discovery;Search Backend;Statistical Modeling;TensorFlow;Text Encoders;Vector Representations;scikit-learn,none,
19,CAND_0061257,7.210346,senior_pooled,0.0585,-0.085069,llm_finetuning:69.5,19,20,senior_plain_language,fine_atom_05,Staff Machine Learning Engineer,LinkedIn,evaluated_ranking_system,ETL;Feature Engineering;Haystack;Image Classification;Indexing Algorithms;Information Retrieval Systems;Machine Learning;Model Adaptation;PEFT;Python;Search Backend;Search Infrastructure;TTS;Time Series;Vector Representations;Workflow Orchestration,none,
20,CAND_0060072,7.145223,senior_pooled,0.17385,-0.15,embeddings:61.7;ml_depth:80.8,20,18,senior_explicit_ai,fine_atom_03,Staff Machine Learning Engineer,Amazon,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Deep Learning;Embeddings;Feature Engineering;Fine-tuning LLMs;Kubeflow;Machine Learning;Milvus;Next.js;Pinecone;Prompt Engineering;PyTorch;Qdrant;RAG;Recommendation Systems;Redux;Reinforcement Learning;Sentence Transformers;YOLO,low,
21,CAND_0092278,6.980637,senior_pooled,0.0,0.0,,21,21,senior_explicit_ai,fine_atom_03,Senior NLP Engineer,Microsoft,end_to_end_intelligence_ownership;evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Elasticsearch;GANs;Hugging Face Transformers;LLMs;MLflow;Machine Learning;Milvus;NLP;Object Detection;PEFT;QLoRA;Semantic Search;TensorFlow;Time Series;Vector Search;gRPC;pgvector,none,
22,CAND_0079387,6.584039,applied_ml,0.5,0.3,embeddings:85.8;ml_depth:85.8;python_engineering:66.5;ranking_recommendation_matching:84.4,24,22,applied_ml,fine_atom_00,AI Engineer,Microsoft,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;BentoML;Haystack;Illustrator;JavaScript;Kubeflow;Learning to Rank;LoRA;Next.js;OpenSearch;Python;QLoRA;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Time Series;Vector Search;YOLO;scikit-learn,none,
23,CAND_0051004,6.579855,applied_ml,0.3824,0.3,embeddings:90.4;retrieval_search:77.9,25,26,applied_ml,fine_atom_00,Senior Data Scientist,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BentoML;BigQuery;Docker;Embeddings;Fine-tuning LLMs;Forecasting;Haystack;LlamaIndex;LoRA;MLOps;MLflow;PEFT;Prompt Engineering;PyTorch;Qdrant;Reinforcement Learning;Semantic Search;Vector Search;gRPC,low,
24,CAND_0037944,6.543558,applied_ml,0.5,0.3,llm_finetuning:88.8;ml_depth:90.6;retrieval_search:91.6;vector_hybrid_infrastructure:91.6,27,23,applied_ml,fine_atom_00,Senior Data Scientist,Vedantu,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Apache Flink;BM25;CNN;Embeddings;Feature Engineering;LLMs;LlamaIndex;Machine Learning;NLP;Next.js;OpenSearch;PEFT;Python;QLoRA;Sentence Transformers;Terraform;Vector Search,low,
25,CAND_0084819,6.516693,applied_ml,0.5,0.3,ranking_recommendation_matching:89.4;retrieval_search:77.4;vector_hybrid_infrastructure:82.8,34,24,applied_ml,fine_atom_00,Search Engineer,Dream11,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;Docker;GCP;Information Retrieval;LlamaIndex;LoRA;MLOps;MLflow;OpenSearch;PyTorch;Recommendation Systems;Reinforcement Learning;Semantic Search;Sentence Transformers;Speech Recognition;Weaviate;scikit-learn,low,
26,CAND_0096142,6.474638,applied_ml,0.35195,0.3,llm_finetuning:91.8;vector_hybrid_infrastructure:85.7,43,28,applied_ml,fine_atom_00,Applied ML Engineer,upGrad,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;BentoML;CNN;CSS;Hugging Face Transformers;Kubeflow;LoRA;NLP;OpenCV;Pinecone;Python;RAG;Weaviate;Weights & Biases;dbt,none,
27,CAND_0041669,6.43276,applied_ml,0.20925,0.167918,vector_hybrid_infrastructure:83.7,31,34,applied_ml,fine_atom_00,Recommendation Systems Engineer,CRED,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Diffusion Models;FAISS;Flask;Haystack;Information Retrieval;MLOps;MLflow;Machine Learning;Milvus;PEFT;Prompt Engineering;QLoRA;Qdrant;Semantic Search;Time Series;TypeScript;Vue.js;Weaviate;Weights & Biases,none,
28,CAND_0054123,6.397378,applied_ml,0.161,0.199769,python_engineering:92,46,54,applied_ml,fine_atom_00,Applied ML Engineer,Meta,evaluated_ranking_system;shipper_with_evaluation_depth,Fine-tuning LLMs;Hugging Face Transformers;LLMs;LangChain;Python;Qdrant;Reinforcement Learning;SEO;Semantic Search;Speech Recognition;Tailwind;Vector Search;Weaviate;Weights & Biases;pgvector,low,
29,CAND_0075249,6.389291,applied_ml,0.5,0.153142,embeddings:80.7;llm_finetuning:57.6;ml_depth:80.7;vector_hybrid_infrastructure:77.9,40,25,applied_ml,fine_atom_00,Applied ML Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Diffusion Models;Fine-tuning LLMs;Hadoop;Haystack;Kubeflow;Learning to Rank;MLflow;Machine Learning;Milvus;Pinecone;Sentence Transformers;Time Series,none,
30,CAND_0074225,6.377596,applied_ml,0.26125,0.075901,ranking_recommendation_matching:58.5;retrieval_search:89.2,29,29,applied_ml,fine_atom_00,Machine Learning Engineer,Unacademy,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Apache Beam;CI/CD;Elasticsearch;Haystack;Hugging Face Transformers;Machine Learning;Milvus;Python;QLoRA;Qdrant;Recommendation Systems;Semantic Search;Statistical Modeling;Time Series;Vector Search;scikit-learn,low,
31,CAND_0042029,6.375371,applied_ml,0.29305,0.163939,ml_depth:82.7;retrieval_search:76.9,45,33,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Embeddings;Feature Engineering;Haystack;Hugging Face Transformers;Image Classification;Learning to Rank;NLP;OpenSearch;PyTorch;RAG;REST APIs;Speech Recognition;Statistical Modeling;TypeScript;Weaviate;YOLO,none,
32,CAND_0007009,6.369653,applied_ml,0.0,0.0,,23,53,applied_ml,fine_atom_00,Recommendation Systems Engineer,Wysa,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BM25;CNN;Data Science;ETL;Embeddings;Forecasting;Haystack;LLMs;Learning to Rank;LoRA;OpenSearch;PEFT;Python;QLoRA;Sentence Transformers;Statistical Modeling;Weaviate;Weights & Biases,none,
33,CAND_0061265,6.365413,applied_ml,0.2135,0.191977,vector_hybrid_infrastructure:85.4,53,49,applied_ml,fine_atom_00,Recommendation Systems Engineer,Zoho,evaluated_ranking_system,Accounting;Computer Vision;Django;Embeddings;Hugging Face Transformers;LangChain;Learning to Rank;Milvus;Object Detection;Prompt Engineering;QLoRA;Qdrant;Reinforcement Learning;SQL;Time Series;Vector Search,none,
34,CAND_0006418,6.360112,applied_ml,0.422525,0.3,embeddings:88.9;retrieval_search:89,75,36,applied_ml,fine_atom_00,Machine Learning Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Diffusion Models;Elasticsearch;Embeddings;Forecasting;Kubernetes;Learning to Rank;MLflow;Object Detection;OpenSearch;Qdrant;Semantic Search;Snowflake;TensorFlow;Time Series;Weaviate;gRPC,low,
35,CAND_0027691,6.345336,applied_ml,0.4356,0.056854,llm_finetuning:86.9;python_engineering:64.2;ranking_recommendation_matching:63.9;vector_hybrid_infrastructure:79.3,32,27,applied_ml,fine_atom_00,NLP Engineer,Haptik,evaluated_ranking_system,Computer Vision;Embeddings;Learning to Rank;LoRA;MLflow;Marketing;PEFT;Python;QLoRA;Recommendation Systems;SAP;Semantic Search;Statistical Modeling;TTS;TensorFlow;Weaviate;scikit-learn,none,
36,CAND_0052328,6.344455,applied_ml,0.2066,0.028356,llm_finetuning:85.4;vector_hybrid_infrastructure:65.7,28,32,applied_ml,fine_atom_00,Recommendation Systems Engineer,Amazon,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Computer Vision;Fine-tuning LLMs;Image Classification;Learning to Rank;LoRA;Object Detection;OpenSearch;Python;QLoRA;Recommendation Systems;Reinforcement Learning;Sentence Transformers;Vector Search;YOLO;scikit-learn,none,
37,CAND_0028793,6.336063,applied_ml,0.249975,0.172056,embeddings:88.7;ml_depth:66.8,58,47,applied_ml,fine_atom_00,Search Engineer,Google,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Embeddings;Haystack;Information Retrieval;Kubeflow;Learning to Rank;LoRA;NLP;PEFT;PowerPoint;PyTorch;QLoRA;SAP;Weights & Biases;YOLO;pgvector,none,
38,CAND_0075439,6.3338,applied_ml,0.231975,0.095631,llm_finetuning:63.8;ranking_recommendation_matching:84.7,42,37,applied_ml,fine_atom_00,Machine Learning Engineer,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;Elasticsearch;Embeddings;Feature Engineering;Information Retrieval;JavaScript;Learning to Rank;LoRA;MLflow;OpenSearch;Semantic Search;Vector Search,low,
39,CAND_0064270,6.328342,applied_ml,0.0,0.0,,26,61,applied_ml,fine_atom_00,Applied ML Engineer,Verloop.io,evaluated_ranking_system;shipper_with_evaluation_depth,Angular;BM25;BentoML;Elasticsearch;Embeddings;Haystack;Hugging Face Transformers;Kubeflow;Learning to Rank;LlamaIndex;Machine Learning;Microservices;OpenSearch;PEFT;PyTorch;React;Sentence Transformers;YOLO,low,
40,CAND_0093912,6.315856,applied_ml,0.154,0.050451,vector_hybrid_infrastructure:75.4,39,48,applied_ml,fine_atom_00,Senior Data Scientist,Razorpay,evaluated_ranking_system,CNN;Elasticsearch;Embeddings;FastAPI;Feature Engineering;Forecasting;Haystack;Learning to Rank;Milvus;Recommendation Systems;SAP;Sales;Vector Search,none,
41,CAND_0009024,6.301049,applied_ml,0.4605,0.3,llm_finetuning:89.8;ml_depth:80.7;vector_hybrid_infrastructure:81.9,93,40,applied_ml,fine_atom_00,Search Engineer,Google,evaluated_ranking_system;shipper_with_evaluation_depth,Airflow;CSS;FAISS;LlamaIndex;LoRA;MLOps;MLflow;Machine Learning;OpenSearch;PEFT;PyTorch;Qdrant;Recommendation Systems;TTS;YOLO;dbt,low,
42,CAND_0011162,6.299817,applied_ml,0.0,0.0,,33,65,applied_ml,fine_atom_00,Recommendation Systems Engineer,upGrad,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Django;Embeddings;FAISS;Kubeflow;LangChain;LoRA;Milvus;OpenSearch;PEFT;Pinecone;Python;Sentence Transformers;Vector Search;Weaviate;Weights & Biases;gRPC,low,
43,CAND_0056881,6.297879,applied_ml,0.3536,0.3,ml_depth:83.4;vector_hybrid_infrastructure:91.4,96,56,applied_ml,fine_atom_00,Machine Learning Engineer,Zomato,evaluated_ranking_system;shipper_with_evaluation_depth,BentoML;Deep Learning;Elasticsearch;Excel;Hugging Face Transformers;Information Retrieval;Kubeflow;Learning to Rank;Pinecone;PyTorch;Salesforce CRM;TTS;Vector Search;scikit-learn,low,
44,CAND_0065195,6.296763,applied_ml,0.0,0.0,,35,66,applied_ml,fine_atom_00,Search Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;Diffusion Models;Django;Elasticsearch;Hugging Face Transformers;LLMs;Learning to Rank;LlamaIndex;MLOps;QLoRA;Qdrant;pgvector;scikit-learn,low,
45,CAND_0043228,6.288665,applied_ml,0.1245,0.094806,ml_depth:83,56,62,applied_ml,fine_atom_00,Applied ML Engineer,Zoho,evaluated_ranking_system,ASR;BigQuery;FastAPI;Haystack;Hugging Face Transformers;Image Classification;Kubeflow;Learning to Rank;Machine Learning;NLP;OpenSearch;React;Sentence Transformers;TTS;Vector Search;Weaviate;YOLO;pgvector,none,
46,CAND_0030348,6.284658,applied_ml,0.0,0.0,,37,68,applied_ml,fine_atom_00,Machine Learning Engineer,BYJU'S,evaluated_ranking_system;shipper_with_evaluation_depth,Deep Learning;Elasticsearch;Embeddings;GANs;Haystack;LlamaIndex;MLOps;Marketing;OpenCV;PyTorch;Python;Redis;Spring Boot;TTS;Vector Search;pgvector,low,
47,CAND_0005649,6.280074,applied_ml,0.0,0.0,,38,69,applied_ml,fine_atom_00,Senior Data Scientist,Sarvam AI,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Deep Learning;Fine-tuning LLMs;Haystack;Information Retrieval;Kubeflow;Microservices;Object Detection;OpenCV;Prompt Engineering;QLoRA;RAG;Recommendation Systems;Redis;Semantic Search;TensorFlow;Weaviate;scikit-learn,none,
48,CAND_0044855,6.277092,applied_ml,0.36705,0.0606,ml_depth:79.9;ranking_recommendation_matching:63.7;vector_hybrid_infrastructure:78.6,50,30,applied_ml,fine_atom_00,Senior Data Scientist,Flipkart,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,BentoML;Data Science;Embeddings;Forecasting;Hugging Face Transformers;Image Classification;Information Retrieval;Learning to Rank;Machine Learning;NLP;Object Detection;OpenSearch;Pinecone;QLoRA;Qdrant;Statistical Modeling;Vector Search,none,
49,CAND_0095528,6.271148,applied_ml,0.28075,0.082503,retrieval_search:86.7;vector_hybrid_infrastructure:62.8,57,41,applied_ml,fine_atom_00,Senior Data Scientist,Netflix,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Elasticsearch;Feature Engineering;Fine-tuning LLMs;GANs;MLOps;OpenSearch;PyTorch;Python;Qdrant;RAG;Semantic Search;Vector Search;pgvector;scikit-learn,none,
50,CAND_0068811,6.26611,applied_ml,0.042,-0.15,retrieval_search:52.6;vector_hybrid_infrastructure:52.6,22,43,applied_ml,fine_atom_00,Applied ML Engineer,Freshworks,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Agile;Data Science;Embeddings;Haystack;Kubeflow;OpenSearch;PEFT;Pinecone;Qdrant;React;Speech Recognition;TTS;TensorFlow;Time Series;Vector Search;Weaviate;gRPC;pgvector;scikit-learn,none,
51,CAND_0032807,6.261984,applied_ml,0.35805,0.3,python_engineering:79.4;vector_hybrid_infrastructure:88.9,,64,applied_ml,fine_atom_00,Machine Learning Engineer,CRED,production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,Content Writing;Data Science;Deep Learning;Fine-tuning LLMs;GANs;Hugging Face Transformers;LLMs;LangChain;LoRA;Marketing;Milvus;Object Detection;OpenCV;OpenSearch;Python;Sentence Transformers;TTS;scikit-learn,low,
52,CAND_0096172,6.257012,applied_ml,0.0,0.0,,44,74,applied_ml,fine_atom_00,NLP Engineer,Krutrim,evaluated_ranking_system;shipper_with_evaluation_depth,CNN;Elasticsearch;Fine-tuning LLMs;Forecasting;GraphQL;Haystack;Hugging Face Transformers;LangChain;OpenSearch;Python;Qdrant;RAG;Semantic Search;Sentence Transformers;Time Series,none,
53,CAND_0087630,6.254533,applied_ml,0.0795,-0.083999,vector_hybrid_infrastructure:65.9,30,50,applied_ml,fine_atom_00,AI Engineer,Vedantu,evaluated_ranking_system;shipper_with_evaluation_depth,ASR;BM25;Data Science;Deep Learning;Elasticsearch;Embeddings;Feature Engineering;Flask;GANs;Hugging Face Transformers;Learning to Rank;NLP;OpenSearch;QLoRA;Sentence Transformers;Tally;Weights & Biases;pgvector,none,
54,CAND_0047721,6.25326,applied_ml,0.5,0.3,ranking_recommendation_matching:82.8;retrieval_search:87.8;vector_hybrid_infrastructure:73.6,,45,applied_ml,fine_atom_00,Senior Data Scientist,Microsoft,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Diffusion Models;FAISS;Forecasting;Image Classification;Information Retrieval;Learning to Rank;MLOps;Machine Learning;Milvus;NLP;OpenCV;Photoshop;Qdrant;RAG;Redux;Salesforce CRM,none,
55,CAND_0031593,6.251716,applied_ml,0.0,0.0,,47,76,applied_ml,fine_atom_00,Search Engineer,Genpact AI,evaluated_ranking_system;production_embeddings_retrieval;production_vector_or_hybrid_search;shipper_with_evaluation_depth,ASR;BM25;BentoML;CNN;Elasticsearch;Embeddings;GCP;HTML;Haystack;Hugging Face Transformers;Java;LangChain;OpenCV;Recommendation Systems;Statistical Modeling;Weights & Biases,none,
56,CAND_0099806,6.250414,applied_ml,0.057,-0.024076,llm_finetuning:69,41,63,applied_ml,fine_atom_00,AI Engineer,Mad Street Den,evaluated_ranking_system;shipper_with_evaluation_depth,Agile;BM25;Elasticsearch;Embeddings;FAISS;LoRA;OpenCV;Prompt Engineering;Qdrant;RAG;Reinforcement Learning;Sentence Transformers;Speech Recognition;Statistical Modeling;Time Series;Weaviate;dbt;pgvector,low,
57,CAND_0070398,6.246937,applied_ml,0.212,0.183485,retrieval_search:84.8,85,72,applied_ml,fine_atom_00,Machine Learning Engineer,Genpact AI,evaluated_ranking_system;shipper_with_evaluation_depth,BM25;Data Science;Embeddings;FAISS;Fine-tuning LLMs;Image Classification;Information Retrieval;Learning to Rank;LoRA;Object Detection;PyTorch;Python;RAG;Recommendation Systems;Reinforcement Learning;pgvector,none,
