candidate_id,rank,score,reasoning
CAND_0000031,19,94.373154,"Candidate has strong production experience in retrieval systems, including migrating keyword-based search to embedding-based retrieval and designing ranking models with XGBoost and LightGBM. However, limited explicit mention of LLMs or broader hybrid search experience may be a concern."
CAND_0006557,20,94.238926,"The candidate's experience in building and evaluating ranking systems, including a 12% improvement in revenue-per-search at Paytm, strongly aligns with the Senior AI Engineer role. A concern is the 120-day notice period, which may affect immediate availability."
CAND_0088025,21,93.852349,"The candidate has strong production experience in building hybrid retrieval systems and learning-to-rank models, with measurable outcomes in large-scale systems. A concern is the lack of detailed NLP/LLM expertise relative to retrieval work."
CAND_0008425,22,93.718121,"The candidate has strong experience in building production ML systems with a focus on search, retrieval, and ranking, evidenced by their work at Ola, Zomato, and Amazon. A material concern is their unwillingness to relocate from Kolkata."
CAND_0050454,23,93.702013,"The candidate has strong experience in applied ML, particularly in NLP and production-level embedding-based retrieval systems, with measurable impact on search relevance and revenue. A concern is the lack of explicit mention of A/B testing or online evaluation metrics in their career history."
CAND_0055992,24,93.449664,"Candidate has strong production experience in embedding-based retrieval and ranking systems, including migrating keyword-based search to embedding-based retrieval and building semantic search with FAISS. A concern is the possible inconsistency between years of experience listed (16.9) and career history duration (8.1 years)."
CAND_0068351,25,93.315436,"The candidate has extensive experience in building and optimizing ranking and retrieval systems, as demonstrated by their end-to-end ownership of search infrastructure at Sarvam AI and Microsoft. A material concern is their current employment status and location, which may limit availability for new opportunities."
CAND_0092278,26,93.181208,"The candidate has strong experience in building production search and ranking systems, including hybrid retrieval, learning-to-rank, and evaluation frameworks, aligning well with the Senior AI Engineer role. A material concern is their lack of openness to work, which may limit engagement with recruiters."
CAND_0005649,27,93.030872,"The candidate's experience in building semantic search infrastructure with sentence-transformers and FAISS directly aligns with the Senior AI Engineer role in search and ranking. A concern is their current employment at a smaller startup, which may limit exposure to large-scale production systems."
CAND_0094759,28,92.912752,"The candidate has extensive experience in building production ML systems for search and ranking, including rebuilding a candidate-JD matching pipeline with significant performance improvements. However, the candidate is not currently open to work, which may affect hiring timelines."
CAND_0046064,29,92.241611,"The candidate's experience in building high-performance retrieval and ranking systems, including hybrid architectures and LLM-based reranking, strongly aligns with the Senior AI Engineer role. A material concern is their location in Coimbatore and unwillingness to relocate."
CAND_0010770,30,91.183893,"At Aganitha, trained and shipped multiple ranking models for discovery feed using XGBoost and LightGBM, with offline-online correlation analysis and PM collaboration on optimization targets. Concern: Profile claims 15.2 years of experience, but career history shows only 48 months at Aganitha and 20 months at Verloop.io, totaling 68 months."
CAND_0005538,31,91.033557,"The candidate has extensive experience in building large-scale ranking and retrieval systems at Adobe, Locobuzz, and Google, with a focus on infrastructure, algorithms, and product judgment. A concern is their preference for onsite work in Kolkata, which may limit flexibility."
CAND_0041611,32,89.691275,"The candidate has strong experience in building production ML systems for search and ranking, including hybrid retrieval architectures and evaluation frameworks. A material concern is their unwillingness to relocate, which may limit fit with Redrob's preferred locations."
CAND_0042029,33,87.575839,"The candidate has strong experience in building ranking models and semantic search infrastructure, aligning with the Senior AI Engineer role. A concern is their current e-commerce focus may not fully align with Redrob's specific needs."
CAND_0030468,34,86.636242,"The candidate has strong experience in building ranking and retrieval systems at scale, as evidenced by their work at Swiggy, CRED, and Wysa. A material concern is their limited depth in NLP and LLM-related skills compared to their retrieval expertise."
CAND_0075249,35,86.614765,"Candidate has strong production retrieval ownership, having led migration from keyword-based to embedding-based search at Zomato, and built semantic search with sentence-transformers and FAISS at upGrad. Concern: No explicit mention of hybrid search or learning-to-rank beyond gradient-boosted models."
CAND_0099401,36,86.378523,"The candidate has strong experience in building ranking systems, including a learning-to-rank model that improved revenue-per-search by 12% at Microsoft and a content recommendation system serving 10M+ users at Dream11. A concern is the lack of explicit mention of hybrid search or vector index optimization in their career history."
CAND_0066999,37,86.367785,"The candidate's experience in building and deploying learning-to-rank models at Microsoft, including a 12% improvement in revenue-per-search, strongly aligns with the Senior AI Engineer role. A material concern is the lack of detailed NLP and LLM expertise compared to retrieval and ranking systems."
CAND_0060072,38,85.170470,"The candidate has strong experience in building production ML systems with a focus on retrieval and ranking, including hybrid retrieval architecture and learning-to-rank models. A material concern is that the candidate is not currently open to work, which may delay hiring decisions."
CAND_0044222,39,84.907383,"Candidate has strong experience in building production ML systems, particularly in NLP, recommendation systems, and retrieval with embedding-based search improvements. However, location in Vizag and lack of explicit A/B testing experience in retrieval systems are concerns."
CAND_0001610,40,84.644295,"The candidate's experience in building semantic search infrastructure with FAISS and sentence-transformers, along with strong production ML deployment and ranking model expertise, aligns well with the Senior AI Engineer role. A concern is the listed years of experience (3.0) conflicting with the profile suggesting over 5 years."
CAND_0006418,41,84.499329,"The candidate has strong experience in building ranking models and evaluation frameworks, with expertise in Learning to Rank and semantic search, directly relevant to a Senior AI Engineer role. A concern is the lack of detailed NLP/LLM expertise, which may impact alignment with specific AI engineering needs."
CAND_0089552,42,83.828188,"The candidate has strong experience in building production ML systems, including semantic search infrastructure and recommendation systems, with expertise in vector search and embeddings. A material concern is their current non-open-to-work status, which may delay hiring timelines."
CAND_0031593,43,83.710067,"The candidate's experience in building and optimizing ranking systems, including a learning-to-rank model that improved revenue-per-search by 12%, strongly aligns with the Senior AI Engineer role. A concern is the limited detail on NLP and LLM expertise, though they have some RAG experience."
CAND_0047721,44,83.022819,The candidate's experience in building production recommendation systems and expertise in learning-to-rank and information retrieval strongly align with the Senior AI Engineer role. A concern is the lack of explicit mention of embeddings-based retrieval or hybrid search in the Microsoft role description.
CAND_0061265,45,82.496644,"The candidate has strong experience in migration from keyword-based to embedding-based retrieval and learning-to-rank models, directly relevant to a Senior AI Engineer role. A concern is their unwillingness to relocate, which may limit fit if the role requires a different location."
CAND_0019480,46,82.485906,"Candidate has strong experience in building and shipping ranking models using XGBoost and LightGBM across multiple companies, with a focus on evaluation rigor and production deployment. A concern is the lack of explicit mention of embeddings-based retrieval or vector search systems in the Meesho role description."
CAND_0044883,47,82.357047,"At Mad Street Den, implemented a RAG-based chatbot with document ingestion (chunking, embeddings via OpenAI, Pinecone), answer generation (GPT-4 and fine-tuned models), and evaluation (BLEU, ROUGE, human-in-the-loop). Deployment reduced ticket resolution time by 31%. Concern: Based in Berlin, Germany; not willing to relocate to India — no visa sponsorship."
CAND_0044855,48,82.217450,"The candidate has strong experience in building recommendation systems, NLP, and vector search technologies, with production-level implementations at Flipkart and LinkedIn. A concern is the lack of explicit mention of hybrid search or vector index refresh strategies in their job descriptions."
CAND_0058575,49,81.965101,"The candidate has strong experience in building and deploying ML systems, including RAG-based features and evaluation frameworks, aligning with the Senior AI Engineer role. A material concern is the need for deeper expertise in NLP and LLMs to fully meet the role's expectations."
CAND_0052328,50,81.948993,"The candidate's experience in building production-level recommendation systems and ranking pipelines at Amazon, including deployment of RAG-based chatbots and evaluation frameworks, strongly aligns with the Senior AI Engineer role. A material concern is the limited depth in NLP and LLM-specific skills despite some exposure to fine-tuning."
CAND_0064904,51,81.562416,"Candidate has strong production experience in retrieval systems, including migrating keyword-based search to embedding-based retrieval and building recommendation systems with collaborative filtering and content-based ranking. A concern is the lack of explicit mention of hybrid retrieval or vector search systems in production."
CAND_0016163,52,81.293960,The candidate's experience in migrating keyword-based search to embedding-based retrieval and their expertise in vector search technologies strongly align with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid retrieval or ranking evaluation metrics like NDCG or MRR.
CAND_0057563,53,81.288591,"The candidate has strong experience in building ranking systems, including a learning-to-rank model that improved revenue-per-search by 12% at Locobuzz, and semantic search infrastructure using sentence-transformers and FAISS at Zoho. A material concern is the lack of explicit detail on production embeddings-based retrieval and hybrid search systems."
CAND_0018722,54,81.159732,"The candidate's experience in migrating keyword-based search to embedding-based retrieval and improving search relevance by 35% directly aligns with the Senior AI Engineer role. However, their current location in Toronto and unwillingness to relocate may pose a challenge for the role."
CAND_0069905,55,81.154362,"The candidate has strong experience in embedding-based retrieval and search relevance improvements, directly aligning with the Senior AI Engineer role. A concern is the lack of explicit mention of A/B testing or online evaluation metrics like NDCG or MRR."
CAND_0011162,56,80.875168,"The candidate's experience in building and optimizing ranking models, along with strong production deployment and monitoring skills, aligns well with the Senior AI Engineer role. A material concern is the lack of explicit mention of vector search or hybrid retrieval systems in their job descriptions, despite relevant technical skills."
CAND_0083307,57,80.477852,"Strongest connection to Senior AI Engineer role is the candidate's experience in building RAG-based systems, vector search, and evaluation frameworks, with production deployments at CRED and Netflix. A material concern is the candidate's location in Vizag and unwillingness to relocate."
CAND_0010685,58,80.204027,"The candidate's experience in building and optimizing ranking models, including a 12% revenue-per-search improvement at Rephrase.ai, strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit mention of A/B testing or ranking evaluation metrics like NDCG/MRR/MAP in their current role description."
CAND_0079387,59,79.946309,"Strong in building recommendation systems and retrieval solutions with production experience, including a 10M+ user content recommendation system at Microsoft. Concern: Focus on NLP and chatbots may not fully align with Redrob's emphasis on embeddings-based retrieval and hybrid search."
CAND_0030348,60,79.425503,"Candidate demonstrates strong experience in NLP, embedding-based retrieval, and production ML systems, with a 35% improvement in search relevance and a recommendation system boosting user engagement. Concern: No explicit mention of ranking evaluation metrics like NDCG or MRR in job descriptions."
CAND_0020877,61,79.151678,"The candidate's experience in building RAG-based systems and evaluation frameworks, along with expertise in information retrieval and vector search, strongly aligns with the Senior AI Engineer role. A material concern is the lack of explicit recent hands-on coding in the job descriptions."
CAND_0066376,62,79.006711,"Strong in Learning to Rank, FAISS, and Information Retrieval with production experience in recommendation systems and semantic search. Concern: Limited explicit mention of embeddings-based retrieval or hybrid search systems in current role."
CAND_0009691,63,78.620134,"The candidate's experience in building production-grade recommendation systems, semantic search infrastructure, and deployment tools like BentoML and FAISS strongly aligns with the Senior AI Engineer role. However, repetitive job descriptions across multiple companies raise concerns about data integrity."
CAND_0030031,64,78.469799,"Strong connection to Senior AI Engineer role via production work on recommendation systems, retrieval, and ranking models at Microsoft, Google, and Amazon. Concern: Based in Trivandrum, Kerala, with no willingness to relocate, which may limit practical fit for certain roles."
CAND_0081053,65,78.212081,"Candidate has strong experience in building production ranking systems, including a content recommendation system serving 10M+ users and semantic search infrastructure with FAISS and sentence-transformers. A concern is that NLP and LLM-specific skills are not as detailed as retrieval and ranking expertise."
CAND_0060054,66,78.201342,"The candidate's experience in building production-grade recommendation systems and semantic search with measurable impact aligns strongly with the Senior AI Engineer role. A concern is their current non-open-to-work status, which may affect hiring timelines."
CAND_0091909,67,77.793289,"The candidate's experience in building production-grade recommendation systems and ranking models, particularly at Meta and Rephrase.ai, strongly aligns with the Senior AI Engineer role. A material concern is the secondary focus on NLP and LLMs compared to retrieval and ranking expertise."
CAND_0093912,68,77.272483,"Candidate has strong production experience in ranking systems, including evolving hand-tuned scoring functions into learning-to-rank models and improving revenue-per-search by 12% at Razorpay and Apple. However, no explicit mention of LLMs or NLP fine-tuning in production systems is a material concern."
CAND_0096172,69,77.143624,"The candidate's experience in semantic search, recommendation systems, and deployment of ML models aligns strongly with the Senior AI Engineer role. A material concern is the lack of explicit mention of hybrid retrieval or vector index expertise."
CAND_0014440,70,76.982550,"Candidate has strong production experience in migrating search systems to embedding-based retrieval and designing evaluation pipelines, aligning with Senior AI Engineer requirements. Concern: No explicit mention of embeddings-based retrieval at Freshworks, raising consistency concerns."
CAND_0076163,71,76.880537,"The candidate has strong experience in building and optimizing ranking systems, demonstrated by their work on learning-to-rank models at Ola and Zoho, which directly aligns with the Senior AI Engineer role. A concern is the lack of detailed focus on NLP and LLM-specific skills beyond retrieval and ranking."
CAND_0030827,72,76.740940,"Candidate led migration of keyword-based search to embedding-based retrieval, improving revenue-per-search by 12%, showing strong production retrieval ownership. Concern: Based in Singapore and not willing to relocate, which may limit fit for roles requiring relocation."
CAND_0054394,73,76.595973,"Candidate has strong experience in recommendation systems and search ranking, evidenced by a 35% improvement in search relevance at PharmEasy and a 12% revenue-per-search increase at Netflix. However, their focus on NLP and LLMs may not fully align with retrieval and ranking systems."
CAND_0094056,74,76.338255,"The candidate's experience in building and optimizing recommendation systems and NLP models, along with expertise in vector search and ranking evaluation, strongly aligns with the Senior AI Engineer role. A concern is the 120-day notice period, which may delay onboarding."
CAND_0026532,75,76.209396,"The candidate's experience in building semantic search and recommendation systems, along with expertise in embeddings and vector databases, strongly aligns with the Senior AI Engineer role. A material concern is their 4.8 years of experience, which is below the target band of 5–9 years."
CAND_0018549,76,76.187919,"Candidate demonstrates strong production experience in recommendation systems and retrieval, including migrating keyword-based search to embedding-based retrieval at Uber, aligning with Senior AI Engineer requirements. A concern is the lack of explicit mention of hybrid search or vector index refresh strategies in their job descriptions."
CAND_0027691,77,75.924832,"The candidate's experience in building and operating production ML pipelines, particularly in recommendation systems and learning-to-rank models, strongly aligns with the Senior AI Engineer role. A material concern is the lack of detailed NLP and LLM expertise compared to retrieval and ranking systems."
CAND_0070398,78,75.774497,"The candidate has strong experience in search, ranking, and retrieval systems, demonstrated by their work on semantic search with FAISS and sentence-transformers, achieving a 35% improvement in relevance. A material concern is their current role in AI Services, which may not align with product company focus."
CAND_0051630,79,75.683221,"At Razorpay, owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model, improving revenue-per-search by 12%. Concern: Based in Kolkata, not a preferred location (Pune or Noida), and not willing to relocate."
CAND_0096142,80,75.532886,"At upGrad, trained and shipped multiple ranking models for discovery feed using XGBoost and LightGBM, with feature families (content metadata, user behavior, engagement history) and offline-online correlation analysis. Concern: Location is Hyderabad (not a preferred location for Redrob); not willing to relocate."
CAND_0086151,81,75.527517,"The candidate's experience in building recommendation systems and ranking models, including a 12% revenue improvement at Wysa and a 35% search relevance improvement at Meta, strongly aligns with the Senior AI Engineer role. A concern is the 120-day notice period, which may delay onboarding."
CAND_0081852,82,75.522148,"Migrated keyword-search-based product to embedding-based retrieval at Mad Street Den, using OpenAI embeddings and Pinecone — strong production retrieval work. Concern: No explicit mention of ranking evaluation metrics like NDCG, MRR, or MAP in the evaluation framework — could be a gap in rigorous ranking evaluation."
CAND_0042506,83,75.398658,"The candidate has strong experience in building semantic search infrastructure and recommendation systems, with expertise in FAISS, sentence-transformers, and production deployment. A material concern is their 4.2 years of experience, which is below the target range of 5–9 years for a Senior AI Engineer role."
CAND_0039838,84,75.135570,"Candidate has strong experience in building semantic search infrastructure and recommendation systems, with expertise in embeddings, vector search, and RAG — directly relevant to Senior AI Engineer roles. A concern is the lack of explicit mention of measurable outcomes from shipped systems beyond churn prediction."
CAND_0078002,85,74.867114,"The candidate has strong experience in building ranking models and recommendation systems, with a focus on NLP and applied AI, aligning well with the Senior AI Engineer role. A concern is the lack of explicit evidence for ownership of embeddings-based retrieval or hybrid search systems in production."
CAND_0065195,86,74.861745,"Candidate has strong production retrieval ownership, demonstrated by migrating keyword-based search to embedding-based retrieval and building a comprehensive RAG-based chatbot with evaluation rigor. However, no explicit mention of hybrid search or vector index refresh strategies may limit relevance to specific retrieval needs."
CAND_0013536,87,74.716779,The candidate's experience in migrating keyword-based search to embedding-based retrieval and expertise in vector search and ranking models strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid search or learning-to-rank systems in production.
CAND_0027801,88,74.190604,"The candidate's experience in NLP, recommendation systems, and production ML pipelines with tools like FAISS and Milvus strongly aligns with the Senior AI Engineer role. A concern is the lack of explicit mention of hybrid search or embeddings-based retrieval in production systems."
CAND_0049538,89,73.664430,"Candidate led migration from keyword-based search to embedding-based retrieval, improving revenue-per-search by 12%, showing strong production retrieval ownership. Concern: No explicit mention of hybrid search systems or vector databases like FAISS, Weaviate, or Qdrant in earlier roles."
CAND_0095528,90,73.659060,"The candidate has strong production experience in retrieval and ranking systems, including building a content recommendation system at Netflix with collaborative filtering and content-based ranking. A material concern is their location in Indore and unwillingness to relocate, which may limit availability for onsite roles."
CAND_0050876,91,73.530201,"The candidate has strong experience in building production-grade ranking systems, as evidenced by their work at Freshworks improving revenue-per-search by 12%. However, their NLP and LLM expertise is less detailed compared to their retrieval and ranking work."
CAND_0054123,92,73.256376,"Candidate has strong experience in building production-grade recommendation systems and semantic search with vector embeddings, aligning well with Senior AI Engineer roles in search and ranking. However, the candidate's location (Gurgaon) and unwillingness to relocate may limit practical fit."
CAND_0012957,93,73.251007,"Candidate demonstrates strong production experience in retrieval systems, having migrated keyword-based search to embedding-based retrieval, improving revenue-per-search by 12%. However, the candidate is not currently open to new opportunities, which may delay hiring timelines."
CAND_0042100,94,72.714094,"Candidate has strong experience in building and deploying ranking models, including a 12% revenue-per-search improvement at Freshworks and shipping ranking models at Netflix. A concern is the lack of specific metrics for the RAG-based feature evaluation framework."
CAND_0070202,95,72.708725,"Candidate led migration of keyword-based search to embedding-based retrieval at BYJU'S, improving revenue-per-search by 12%, showing strong production retrieval ownership. However, the candidate is based in Jaipur and not willing to relocate, which may limit logistics engagement."
CAND_0043228,96,72.703356,"The candidate's experience in building a learning-to-rank model at Zoho, improving revenue-per-search by 12%, directly aligns with the Senior AI Engineer role. A concern is the lack of openness to work, which may hinder engagement."
CAND_0087630,97,72.177181,"The candidate has strong production experience in building recommendation systems with retrieval and ranking components, including RAG-based features and A/B testing infrastructure. However, there is a data integrity concern due to repeated job descriptions across multiple companies."
CAND_0076831,98,71.919463,"Candidate built semantic search infrastructure with FAISS and sentence-transformers, showing strong production-level retrieval expertise. However, 4.0 years of experience is below the typical 5–9 year target for a senior role, despite a PhD and deep technical skills."
CAND_0095619,99,71.785235,"Candidate has strong production experience in ranking systems, including transitioning from hand-tuned scoring to learning-to-rank models and shipping a RAG-based feature. However, the discrepancy between 15.6 years of experience and only 50 months at Nykaa raises concerns about accuracy in the profile."
CAND_0024620,100,71.248322,"Candidate demonstrates strong production experience in retrieval systems (migrated keyword-based search to embedding-based retrieval) and ML pipeline deployment (MLflow, Kubeflow). Concern: No explicit mention of vector search or hybrid retrieval systems in production."
